Point no;Nu Name;I/D;Crop;Province;Lat(-);Long (  );Cultivar;Planting date;Tillers;Plants / 10m;Row width;Ears;Kernel rows;Kernels / row;Moist %;Grain mass;Kernel mass;Estimated Yield;Calculated Yield;Farmer yield;Comments;Yield x 5;Yield
K6C;;D;WM;EC;-31.59828; 28.44632;KK4581BR;2017/12/15;;;0,92;22;;;12,40;101,16;;;2300,72;;;;
K6D;;D;WM;EC;-31.59799; 28.44642;KK4581BR;2017/12/15;;;0,92;22;;;12,90;198,45;;;4487,66;;;;
K6E;;D;WM;EC;-31.59814; 28.44639;KK4581BR;2017/12/15;;;0,92;19;;;9,70;59,76;;;1209,98;;;12918,89;2583,77757
K7A;;D;WM;EC;-31.65376; 28.67061;PAN ROUNDUP;2017/12/22;21;26;0,76;25;;;13,40;116,63;;;3607,20;;;;
K7B;;D;WM;EC;-31.65364; 28.67014;PAN ROUNDUP;2017/12/22;;;0,76;29;;;15,30;128,64;;;4513,98;;;;
K7C;;D;WM;EC;-31.65347; 28.66992;PAN ROUNDUP;2017/12/22;;;0,76;41;;;11,30;28,48;;;1479,62;;;;
K7D;;D;WM;EC;-31.65346; 28.66981;PAN ROUNDUP;2017/12/22;;;0,76;31;;;12,00;34,16;;;1331,26;;;;
K7E;;D;WM;EC;-31.65350; 28.66976;PAN ROUNDUP;2017/12/22;;;0,76;17;;;12,80;112,14;;;2374,80;;;13306,86;2661,372611
M8A;;D;YM;EC;-31.21889; 29.00084;KKS8408R;2017/12/24;1;11;1,00;16;;;12,40;152,17;;;2315,63;;;;
M8B;;D;YM;EC;-31.21903; 29.00095;KKS8408R;2017/12/25;;;1,00;18;;;12,60;149,96;;;2561,39;;;;
M8C;;D;YM;EC;-31.21912; 29.00095;KKS8408R;2017/12/26;;;1,00;19;;;12,40;181,72;;;3283,79;;;;
M8D;;D;YM;EC;-31.21951; 29.00103;KKS8408R;2017/12/27;;;1,00;25;;;12,60;158,24;;;3753,90;;;;
M8E;;D;YM;EC;-31.21942; 29.00120;KKS8408R;2017/12/28;;;1,00;17;;;11,40;155,52;;;2543,22;;;14457,94;2891,587061
M9A;;D;YM;EC;-31.20847; 28.90694;ROUNDUP READY;2018/01/05;1;18;0,92;22;;;12,80;77,61;;;1757,05;;;;
M9B;;D;YM;EC;-31.20837; 28.90692;ROUNDUP READY;2018/01/05;;;0,92;23;;;13,00;80,88;;;1909,92;;;;
M9C;;D;YM;EC;-31.20876; 28.90689;ROUNDUP READY;2018/01/05;;;0,92;23;;;12,00;75,83;;;1811,25;;;;
M9D;;D;YM;EC;-31.20888; 28.90700;ROUNDUP READY;2018/01/05;;;0,92;17;;;15,60;156,37;;;2647,72;;;;
M9E;;D;YM;EC;-31.20902; 28.90713;ROUNDUP READY;2018/01/05;;;0,92;28;;;17,40;185,58;;;5065,20;;;13191,16;2638,231249
K10A;;D;WM;EC;-31.49092; 28.70075;ROUNDUP READY;2017/12/15;3;27;1,12;33;;;12,40;240,38;;;6736,18;;;;
K10B;;D;WM;EC;-31.49068; 28.70139;ROUNDUP READY;2017/12/15;;;1,12;26;;;13,80;249,75;;;5426,05;;;;
K10C;;D;WM;EC;-31.49042; 28.70115;ROUNDUP READY;2017/12/15;;;1,12;34;;;16,30;212,29;;;5856,41;;;;
K10D;;D;WM;EC;-31.49044; 28.70158;ROUNDUP READY;2017/12/15;;;1,12;30;;;14,60;202,54;;;5030,23;;;;
K10E;;D;WM;EC;-31.49033; 28.70118;ROUNDUP READY;2017/12/15;;;1,12;37;;;15,20;197,11;;;5995,20;;;29044,07;5808,813586
K11A;;D;YM;EC;-31.61495; 28.53167;PAN1615R;2017/11/29;12;45;0,94;47;;;11,20;97,30;;;4690,42;;;;
K11B;;D;YM;EC;-31.61528; 28.53146;PAN1615R;2017/11/29;;;0,94;31;;;10,80;86,53;;;2763,64;;;;
K11C;;D;YM;EC;-31.61546; 28.53104;PAN1615R;2017/11/29;;;0,94;25;;;10,20;82,68;;;2143,90;;;;
K11D;;D;YM;EC;-31.61552; 28.53092;PAN1615R;2017/11/29;;;0,94;37;;;10,50;99,34;;;3799,59;;;;
K11E;;D;YM;EC;-31.61555; 28.53074;PAN1615R;2017/11/29;;;0,94;46;;;11,80;87,75;;;4112,08;;;17509,62;3501,923717
K12A;;D;YM;EC;-31.61223; 28.53045;PAN1615R;2017/11/28;12;32;1,00;31;;;9,30;27,07;;;826,37;;;;
K12B;;D;YM;EC;-31.61205; 28.53032;PAN1615R;2017/11/28;;;1,00;21;;;10,40;64,74;;;1322,56;;;;
K12C;;D;YM;EC;-31.61191; 28.53060;PAN1615R;2017/11/28;;;1,00;15;;;10,60;58,66;;;854,06;;;;
K12D;;D;YM;EC;-31.61143; 28.53072;PAN1615R;2017/11/28;;;1,00;31;;;10,20;36,77;;;1111,34;;;;
K12E;;D;YM;EC;-31.61096; 28.53101;PAN1615R;2017/11/28;;;1,00;21;;;8,90;38,51;;;799,88;;;4914,21;982,8414891
K13A;;D;WM;EC;-31.71984; 28.36758;K2-KK;2018/01/08;12;16;1,00;30;;;11,90;267,20;;;7667,42;;;;
K13B;;D;WM;EC;-31.71963; 28.36771;K2-KK;2018/01/08;;;1,00;34;;;12,30;202,47;;;6554,73;;;;
K13C;;D;WM;EC;-31.71976; 28.36817;K2-KK;2018/01/08;;;1,00;31;;;12,50;175,43;;;5166,41;;;;
K13D;;D;WM;EC;-31.71976; 28.36842;K2-KK;2018/01/08;;;1,00;30;;;12,20;225,33;;;6443,92;;;;
K13E;;D;WM;EC;-31.71966; 28.36896;K2-KK;2018/01/08;;;1,00;32;;;14,60;227,01;;;6735,48;;;32567,96;6513,59231
K14A;;D;WM;EC;-31.84467; 28.55047;BR4581;2017/12/20;5;27;0,88;31;;;14,20;169,34;;;5557,01;;;;
K14B;;D;WM;EC;-31.84529; 28.55043;BR4581;2017/12/20;;;0,88;28;;;16,90;190,62;;;5472,18;;;;
K14C;;D;WM;EC;-31.84580; 28.55049;BR4581;2017/12/20;;;0,88;30;;;16,20;207,27;;;6428,87;;;;
K14D;;D;WM;EC;-31.84605; 28.55016;BR4581;2017/12/20;;;0,88;16;;;15,10;56,87;;;953,11;;;;
K14E;;D;WM;EC;-31.84637; 28.55020;BR4581;2017/12/20;;;0,88;13;;;12,80;33,27;;;465,31;;;18876,49;3775,297552
K15A;;D;YM;EC;-31.64715; 28.80712;PAN6R880CBGT;2018/02/01;1;16;0,86;16;;;17,60;108,28;;;1802,24;;;;
K15B;;D;YM;EC;-31.64731; 28.80703;PAN6R880CBGT;2018/02/01;;;0,86;17;;;27,70;59,58;;;924,50;;;;
K15C;;D;YM;EC;-31.64778; 28.80736;PAN6R880CBGT;2018/02/01;;;0,86;30;;;15,30;73,82;;;2368,08;;;;
K15D;;D;YM;EC;-31.64839; 28.80738;PAN6R880CBGT;2018/02/01;;;0,86;27;;;19,10;86,48;;;2384,76;;;;
K15E;;D;YM;EC;-31.64869; 28.80717;PAN6R880CBGT;2018/02/01;;;0,86;27;;;26,50;18,23;;;456,73;;;7936,30;1587,259871
K16A;;D;WM;EC;-31.90664; 28.61655;KK5403R;2017/12/05;2;26;1,00;29;;;12,60;103,56;;;2849,82;;;;
K16B;;D;WM;EC;-31.90646; 28.61613;KK5403R;2017/12/05;;;1,00;33;;;12,00;68,08;;;2146,50;;;;
K16C;;D;WM;EC;-31.90605; 28.61605;KK5403R;2017/12/05;;;1,00;37;;;12,20;136,53;;;4815,48;;;;
K16D;;D;WM;EC;-31.90555; 28.61603;KK5403R;2017/12/05;;;1,00;29;;;13,20;157,22;;;4296,76;;;;
K16E;;D;WM;EC;-31.90524; 28.61608;KK5403R;2017/12/05;;;1,00;26;;;12,20;76,29;;;1890,82;;;15999,39;3199,877617
K17A;;D;WM;EC;-31.94584; 29.08804;ROUNDUP READY;2018/01/14;2;17;0,88;19;;;12,60;87,42;;;1791,05;;;;
K17B;;D;WM;EC;-31.94562; 29.08796;ROUNDUP READY;2018/01/14;;;0,88;22;;;12,50;121,01;;;2873,99;;;;
K17C;;D;WM;EC;-31.94569; 29.08825;ROUNDUP READY;2018/01/14;;;0,88;30;;;12,30;93,11;;;3022,39;;;;
K17D;;D;WM;EC;-31.94541; 29.08822;ROUNDUP READY;2018/01/14;;;0,88;22;;;12,60;119,27;;;2829,43;;;;
K17E;;D;WM;EC;-31.94568; 29.08828;ROUNDUP READY;2018/01/14;;;0,88;23;;;12,40;139,57;;;3469,42;;;13986,27;2797,254776
K18A;;D;WM;EC;-31.82180; 28.69488;KK-K2;2017/11/25;0;13;1,16;13;;;18,60;117,45;;;1163,26;;;;
K18B;;D;WM;EC;-31.82230; 28.69429;KK-K2;2017/11/25;;;1,16;21;;;13,90;82,31;;;1392,94;;;;
K18C;;D;WM;EC;-31.82217; 28.69399;KK-K2;2017/11/25;;;1,16;19;;;14,80;146,84;;;2224,82;;;;
K18D;;D;WM;EC;-31.82214; 28.69445;KK-K2;2017/11/25;;;1,16;17;;;12,70;125,43;;;1742,30;;;;
K18E;;D;WM;EC;-31.82231; 28.69456;KK-K2;2017/11/25;;;1,16;17;;;13,50;101,46;;;1396,42;;;7919,75;1583,949481
K19A;;D;WM;EC;-31.82205; 28.69518;N/A;2017/12/05;4;16;1,00;20;;;10,10;157,65;;;3077,51;;;;
K19B;;D;WM;EC;-31.79694; 28.79061;N/A;2017/12/05;;;1,00;26;;;12,10;159,68;;;3962,13;;;;
K19C;;D;WM;EC;-31.79732; 28.79077;N/A;2017/12/05;;;1,00;24;;;11,70;149,27;;;3434,47;;;;
K19D;;D;WM;EC;-31.79723; 28.79124;N/A;2017/12/05;;;1,00;27;;;13,10;145,59;;;3708,78;;;;
K19E;;D;WM;EC;-31.79714; 28.79175;N/A;2017/12/05;;;1,00;20;;;12,30;162,08;;;3086,56;;;17269,44;3453,888385
K20A;;D;WM;EC;-31.79723; 28.79175;K2-KK 4581 BR;2017/12/15;0;16;0,80;16;;;14,80;139,70;;;2584,53;;;;
K20B;;D;WM;EC;-31.94057; 28.67731;K2-KK 4581 BR;2017/12/15;;;0,80;20;;;14,40;53,12;;;1234,21;;;;
K20C;;D;WM;EC;-31.94071; 28.67763;K2-KK 4581 BR;2017/12/15;;;0,80;15;;;12,60;90,10;;;1603,07;;;;
K20D;;D;WM;EC;-31.94080; 28.67730;K2-KK 4581 BR;2017/12/15;;;0,80;17;;;15,20;67,35;;;1317,67;;;;
K20E;;D;WM;EC;-31.94083; 28.67742;K2-KK 4581 BR;2017/12/15;;;0,80;18;;;13,30;137,23;;;2906,47;;;9645,95;1929,190726
N21A;;D;YM;EC;-31.56816; 29.14107;PANNAR;2018/01/05;0;18;0,94;12;;;9,70;39,58;;;495,37;;;;
N21B;;D;YM;EC;-31.56823; 29.14045;PANNAR;2018/01/05;;;0,94;11;;;12,60;27,81;;;308,81;;;;
N21C;;D;YM;EC;-31,56825;29,14028;PANNAR;2018/01/05;;;0,94;14;;;11,10;48,93;;;703,38;;;;
N21D;;D;YM;EC;-31.56849; 29.14044;PANNAR;2018/01/05;;;0,94;16;;;21,70;78,50;;;1135,90;;;;
N21E;;D;YM;EC;-31.56847; 29.14091;PANNAR;2018/01/05;;;0,94;18;;;12,00;31,32;;;573,01;;;3216,48;643,2958322
N22A;;D;YM;EC;-31.72625; 29.03651;PAN6R-680R;2017/10/13;2;25;0,92;19;;;11,80;39,20;;;775,24;;;;
N22B;;D;YM;EC;-31.72627; 29.03683;PAN6R-680R;2017/10/13;;;0,92;17;;;12,20;137,32;;;2418,83;;;;
N22C;;D;YM;EC;-31.72642; 29.03695;PAN6R-680R;2017/10/13;;;0,92;18;;;12,70;138,36;;;2565,81;;;;
N22D;;D;YM;EC;-31.72632; 29.03707;PAN6R-680R;2017/10/13;;;0,92;17;;;12,50;120,20;;;2110,03;;;;
N22E;;D;YM;EC;-31,72635;29,03750;PAN6R-680R;2017/10/13;;;0,92;19;;;13,10;146,45;;;2853,58;;;10723,50;2144,699209
N23A;;D;YM;EC;-31.60165; 28.86010;ROUNDUP READY MONSANTO;2017/11/26;7;17;0,98;25;;;11,10;204,15;;;5026,67;;;;
N23B;;D;YM;EC;-31.60147; 28.86022;ROUNDUP READY MONSANTO;2017/11/26;;;0,98;28;;;12,30;150,18;;;4085,63;;;;
N23C;;D;YM;EC;-31.60121; 28.86004;ROUNDUP READY MONSANTO;2017/11/26;;;0,98;23;;;11,40;208,78;;;4713,46;;;;
N23D;;D;YM;EC;-31.60177; 28.86025;ROUNDUP READY MONSANTO;2017/11/26;;;0,98;28;;;11,10;130,45;;;3597,44;;;;
N23E;;D;YM;EC;-31.60199; 28.86020;ROUNDUP READY MONSANTO;2017/11/26;;;0,98;22;;;11,70;167,25;;;3599,47;;;21022,68;4204,535497
N24A;;D;WM;EC;-31.38420; 29.01534;HYBRID;2018/01/26;5;17;0,88;16;;;13,00;45,06;;;773,86;;;;
N24B;;D;WM;EC;-31.38386; 29.01559;HYBRID;2018/01/26;;;0,88;11;;;30,00;67,47;;;640,97;;;;
N24C;;D;WM;EC;-31.38372; 29.01571;HYBRID;2018/01/26;;;0,88;12;;;12,80;36,68;;;473,54;;;;
N24D;;D;WM;EC;-31.38350; 29.01602;HYBRID;2018/01/26;;;0,88;11;;;20,70;52,09;;;560,60;;;;
N24E;;D;WM;EC;-31.38357; 29.01617;HYBRID;2018/01/26;;;0,88;22;;;18,80;109,11;;;2404,78;;;4853,75;970,7509191
N25A;;D;YM;EC;-31.39025; 28.96173;ROUNDUP PANNAR;2017/11/14;10;32;0,88;33;;;17,50;74,09;;;2488,63;;;;
N25B;;D;YM;EC;-31.39034; 28.96179;ROUNDUP PANNAR;2017/11/14;;;0,88;30;;;16,00;107,30;;;3336,05;;;;
N25C;;D;YM;EC;-31.39047; 28.96210;ROUNDUP PANNAR;2017/11/14;;;0,88;33;;;12,90;60,35;;;2140,14;;;;
N25D;;D;YM;EC;-31.39074; 28.96234;ROUNDUP PANNAR;2017/11/14;;;0,88;48;;;17,80;95,09;;;4628,93;;;;
N25E;;D;YM;EC;-31.39056; 28.96246;ROUNDUP PANNAR;2017/11/14;;;0,88;37;;;15,40;71,19;;;2749,31;;;15343,07;3068,613684
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;#REF!;;;;
;;;;;;;;;;;;;;;;;;;#REF!;;;;
;;;;;;;;;;;;;;;;;;;#REF!;;;;
;;;;;;;;;;;;;;;;;;;#REF!;;;;
;;;;;;;;;;;;;;;;;;;#REF!;;;;
;;;;;;;;;;;;;;;;;;;#REF!;;;;
;;;;;;;;;;;;;;;;;;;#REF!;;;;
;;;;;;;;;;;;;;;;;;;#REF!;;;;
;;;;;;;;;;;;;;;;;;;#REF!;;;;
;;;;;;;;;;;;;;;;;;;#REF!;;;;

